2024-01-12 08:45:43 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:43 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:44 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:44 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:45 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:46 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:46 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:47 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:47 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:48 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:48 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:49 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:50 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:50 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:51 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:51 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:52 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:52 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:53 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:54 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:54 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:55 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:55 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:56 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:57 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:57 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:58 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:58 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:59 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:59 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:00 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:01 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:01 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:02 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:02 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:03 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:03 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:04 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:05 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:05 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:06 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:06 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:07 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:07 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:08 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:08 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:09 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:10 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:10 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:11 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:11 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:12 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:12 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:13 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:14 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:14 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:15 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:15 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:16 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:16 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:17 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:18 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:18 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:19 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:19 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:20 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:21 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:21 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
